Event Type,Theme,Attendees,Estimated Cost (INR),Decor Items,Menu Items,Location,Predicted Success Score
Wedding,Royal Elegance,663,84196,"Chandelier, Golden Drapes","Gulab Jamun, Butter Naan",Delhi,0.77
Wedding,Royal Elegance,291,77314,"Golden Drapes, Chandelier","Gulab Jamun, Butter Naan",Chennai,0.77
Birthday,Retro Party,1306,92926,"Neon Lights, Cassette Decor","Fries, Cupcakes",Delhi,0.94
Birthday,Unicorn Fantasy,789,46793,"Rainbow Cake, Glitter Table","Cupcakes, Fries",Delhi,0.54
Wedding,Garden Dream,1040,160568,"Fairy Lights, Outdoor Tent","Gulab Jamun, Butter Naan",Hyderabad,0.74
Sports,Team Colors,242,32012,"Flags, Jersey Drapes","Burger, Soda",Bangalore,0.76
Corporate,Blue & White,1401,238657,"White Flowers, Blue Drapes","Brownies, Mocktails",Bangalore,0.81
Wedding,Garden Dream,1400,64862,"Fairy Lights, Outdoor Tent","Butter Naan, Gulab Jamun",Mumbai,0.86
Sports,Team Colors,764,240948,"Flags, Jersey Drapes","Soda, Ice Cream",Delhi,0.93
Corporate,Modern Tech,532,168682,"LED Panels, Digital Banner","Mocktails, Brownies",Bangalore,0.96
Birthday,Retro Party,385,84651,"Cassette Decor, Disco Ball","Cupcakes, Fries",Chennai,0.92
Corporate,Modern Tech,383,153569,"LED Panels, Podium","Brownies, Canapés",Delhi,0.85
Cultural,Ethnic Vibe,230,120864,"Flower Strings, Carved Wood Decor","Samosa, Thali",Hyderabad,0.81
Wedding,Garden Dream,1199,216838,"Fairy Lights, Outdoor Tent","Butter Naan, Paneer Tikka",Bangalore,0.78
Cultural,Traditional Glow,639,151225,"Clay Lamps, Folk Artwork","Samosa, Thali",Chennai,0.93
Birthday,Retro Party,430,161394,"Neon Lights, Cassette Decor","Fries, Pizza",Chennai,0.99
Wedding,Minimalist Chic,729,82770,"White Drapes, Simple Centerpieces","Gulab Jamun, Butter Naan",Chennai,0.72
Wedding,Garden Dream,357,53657,"Fairy Lights, Outdoor Tent","Gulab Jamun, Butter Naan",Chennai,0.9
Birthday,Space Adventure,511,206895,"Rocket Cutouts, Blue Lighting","Pizza, Cupcakes",Bangalore,0.79
Birthday,Unicorn Fantasy,792,25514,"Glitter Table, Pastel Balloons","Pizza, Cupcakes",Mumbai,0.74
Wedding,Royal Elegance,238,28234,"Chandelier, Golden Drapes","Butter Naan, Gulab Jamun",Delhi,0.84
Birthday,Space Adventure,370,209622,"Blue Lighting, Rocket Cutouts","Pizza, Fries",Chennai,0.98
Cultural,Traditional Glow,293,45409,"Folk Artwork, Brass Vases","Kheer, Thali",Bangalore,0.76
Wedding,Royal Elegance,924,210896,"Golden Drapes, Chandelier","Paneer Tikka, Butter Naan",Delhi,0.8
Birthday,Retro Party,475,93018,"Cassette Decor, Neon Lights","Pizza, Cupcakes",Delhi,0.84
Wedding,Royal Elegance,440,126539,"Floral Arch, Golden Drapes","Paneer Tikka, Butter Naan",Mumbai,0.85
Wedding,Minimalist Chic,643,225539,"Candles, Simple Centerpieces","Paneer Tikka, Gulab Jamun",Bangalore,0.94
Corporate,Modern Tech,219,171828,"Podium, Digital Banner","Canapés, Brownies",Delhi,0.92
Sports,Stadium Setup,1129,243535,"Seating Zones, Mini Goal Post","Burger, Ice Cream",Delhi,0.86
Sports,Team Colors,1482,245920,"Jersey Drapes, Flags","Ice Cream, Burger",Delhi,0.77
Sports,Team Colors,958,192326,"Team Banners, Jersey Drapes","Burger, Soda",Chennai,0.88
Birthday,Retro Party,910,54308,"Cassette Decor, Disco Ball","Pizza, Cupcakes",Bangalore,0.9
Cultural,Ethnic Vibe,1253,46209,"Flower Strings, Carved Wood Decor","Thali, Kheer",Mumbai,0.53
Wedding,Royal Elegance,856,94707,"Chandelier, Floral Arch","Gulab Jamun, Paneer Tikka",Chennai,0.75
Sports,Stadium Setup,1458,47154,"Turf Carpet, Mini Goal Post","Burger, Ice Cream",Mumbai,0.88
Corporate,Blue & White,1338,75215,"Stage Lights, White Flowers","Brownies, Mocktails",Mumbai,0.92
Corporate,Modern Tech,289,186273,"LED Panels, Podium","Mocktails, Canapés",Bangalore,0.83
Corporate,Modern Tech,1004,164619,"LED Panels, Podium","Canapés, Brownies",Chennai,0.91
Sports,Team Colors,856,172701,"Flags, Jersey Drapes","Soda, Ice Cream",Hyderabad,0.87
Wedding,Minimalist Chic,530,198799,"Candles, Simple Centerpieces","Gulab Jamun, Paneer Tikka",Delhi,0.77
Birthday,Unicorn Fantasy,462,128080,"Rainbow Cake, Pastel Balloons","Fries, Pizza",Bangalore,0.71
Wedding,Minimalist Chic,179,245075,"Candles, Simple Centerpieces","Butter Naan, Paneer Tikka",Mumbai,0.84
Birthday,Unicorn Fantasy,1451,70627,"Pastel Balloons, Rainbow Cake","Fries, Cupcakes",Bangalore,0.82
Sports,Stadium Setup,156,50236,"Mini Goal Post, Turf Carpet","Burger, Ice Cream",Bangalore,0.96
Sports,Stadium Setup,807,210983,"Seating Zones, Mini Goal Post","Soda, Burger",Hyderabad,0.94
Corporate,Modern Tech,993,20443,"Podium, LED Panels","Mocktails, Brownies",Chennai,0.71
Wedding,Garden Dream,776,183356,"Green Arch, Outdoor Tent","Gulab Jamun, Butter Naan",Delhi,0.79
Cultural,Festive Lights,924,202769,"Colorful Lanterns, Fabric Canopy","Samosa, Kheer",Mumbai,0.79
Birthday,Space Adventure,1265,98892,"Rocket Cutouts, Blue Lighting","Pizza, Fries",Delhi,0.82
Sports,Champion’s Podium,1440,104475,"LED Stage, Trophy Stand","Ice Cream, Soda",Hyderabad,0.84
Birthday,Space Adventure,273,94392,"Rocket Cutouts, Glow Stars","Pizza, Fries",Chennai,0.85
